cache_regime,n_samples,full4_mean_latency_ms,stream3_mean_latency_ms,measured_saving,one_sided_lcb,required_saving,multiplicity_alpha,margin_null_p,passed
warm_reuse,1200,65.27553953333333,48.995912615,0.24939858076577126,0.2488187178030684,0.2,0.025,9.999000099990002e-05,True
fresh_mapping,1200,68.50971748833334,51.86343317666667,0.2429769808129978,0.24222308667425818,0.2,0.025,9.999000099990002e-05,True
