cache_regime,fold,n_samples,full4_mean_latency_ms,stream3_mean_latency_ms,measured_saving
warm_reuse,1,400,65.1553893075,48.9192957475,0.24919033916555955
warm_reuse,2,400,65.0121478375,48.757028435,0.25003203160015885
warm_reuse,3,400,65.65908145499999,49.3114136625,0.2489780153824419
fresh_mapping,1,400,67.85769211,51.453278025,0.24174730343625295
fresh_mapping,2,400,69.2584184225,52.3986615475,0.24343260009418244
fresh_mapping,3,400,68.4130419325,51.738359957499995,0.24373542681309424
