action_id,group,n,both_correct,lost_correct,gained_correct,both_wrong_same_label,both_wrong_different_labels,reference_correct,candidate_correct,net_additional_errors,delta_recall_pp,changed_predicted_label
A073,A061-A120,488,253,26,14,172,23,279,267,12,-2.459016393442623,63
A074,A061-A120,486,305,15,15,136,15,320,320,0,0.0,45
A075,A061-A120,481,344,12,9,102,14,356,353,3,-0.6237006237006237,35
A076,A061-A120,488,243,12,23,194,16,255,266,-11,2.2540983606557377,51
A077,A061-A120,489,364,10,8,91,16,374,372,2,-0.40899795501022496,34
A078,A061-A120,488,348,6,5,107,22,354,353,1,-0.20491803278688525,33
A079,A061-A120,488,417,6,1,60,4,423,418,5,-1.0245901639344261,11
A080,A061-A120,490,482,1,0,6,1,483,482,1,-0.20408163265306123,2
A081,A061-A120,489,444,2,2,34,7,446,446,0,0.0,11
A082,A061-A120,491,390,12,8,63,18,402,398,4,-0.814663951120163,38
A083,A061-A120,491,394,8,4,73,12,402,398,4,-0.814663951120163,24
A084,A061-A120,489,327,11,12,126,13,338,339,-1,0.20449897750511248,36
A085,A061-A120,489,433,6,2,45,3,439,435,4,-0.8179959100204499,11
A086,A061-A120,489,421,7,5,49,7,428,426,2,-0.40899795501022496,19
A087,A061-A120,491,461,3,3,22,2,464,464,0,0.0,8
A088,A061-A120,492,473,2,1,14,2,475,474,1,-0.2032520325203252,5
A089,A061-A120,491,402,13,5,62,9,415,407,8,-1.629327902240326,27
A090,A061-A120,492,455,4,3,29,1,459,458,1,-0.2032520325203252,8
A091,A061-A120,490,390,15,10,67,8,405,400,5,-1.0204081632653061,33
A092,A061-A120,482,453,5,2,18,4,458,455,3,-0.6224066390041494,11
A093,A061-A120,490,421,5,3,50,11,426,424,2,-0.40816326530612246,19
A094,A061-A120,487,420,10,7,45,5,430,427,3,-0.6160164271047228,22
A095,A061-A120,489,470,5,2,9,3,475,472,3,-0.6134969325153374,10
A096,A061-A120,490,469,1,2,15,3,470,471,-1,0.20408163265306123,6
A097,A061-A120,491,482,1,0,7,1,483,482,1,-0.20366598778004075,2
A098,A061-A120,490,484,0,0,5,1,484,484,0,0.0,1
A099,A061-A120,491,472,0,3,14,2,472,475,-3,0.6109979633401222,5
A100,A061-A120,491,483,0,1,5,2,483,484,-1,0.20366598778004075,3
A101,A061-A120,491,489,0,0,2,0,489,489,0,0.0,0
A102,A061-A120,491,469,2,5,15,0,471,474,-3,0.6109979633401222,7
A103,A061-A120,492,346,12,15,109,10,358,361,-3,0.6097560975609756,37
A104,A061-A120,492,437,5,3,46,1,442,440,2,-0.4065040650406504,9
A105,A061-A120,491,364,14,5,98,10,378,369,9,-1.8329938900203666,29
A106,A061-A120,491,368,13,8,89,13,381,376,5,-1.0183299389002036,34
A107,A061-A120,492,337,6,18,116,15,343,355,-12,2.4390243902439024,39
A108,A061-A120,491,442,5,4,37,3,447,446,1,-0.20366598778004075,12
A109,A061-A120,492,445,3,1,38,5,448,446,2,-0.4065040650406504,9
A110,A061-A120,490,392,8,9,78,3,400,401,-1,0.20408163265306123,20
A111,A061-A120,491,450,3,0,31,7,453,450,3,-0.6109979633401222,10
A112,A061-A120,492,479,1,1,10,1,480,480,0,0.0,3
A113,A061-A120,492,479,2,1,10,0,481,480,1,-0.2032520325203252,3
A114,A061-A120,491,464,1,1,25,0,465,465,0,0.0,2
A115,A061-A120,491,447,3,3,32,6,450,450,0,0.0,12
A116,A061-A120,492,465,1,5,21,0,466,470,-4,0.8130081300813008,6
A117,A061-A120,491,425,4,5,48,9,429,430,-1,0.20366598778004075,18
A118,A061-A120,492,463,5,1,23,0,468,464,4,-0.8130081300813008,6
A119,A061-A120,490,466,2,2,18,2,468,468,0,0.0,6
A120,A061-A120,492,477,2,0,8,5,479,477,2,-0.4065040650406504,7
