endpoint,reference,candidate,delta,margin,per_endpoint_alpha,one_sided_lcb,margin_null_p,bonferroni_adjusted_p,passed
all_top1,0.8910503219731998,0.8902769137649847,-0.0007734082082150318,-0.01,0.016666666666666666,-0.002041376258170914,9.999000099990002e-05,0.00029997000299970003,True
a61_a120_top1,0.8706723404255319,0.868663829787234,-0.002008510638297878,-0.015,0.016666666666666666,-0.0036929378251069974,9.999000099990002e-05,0.00029997000299970003,True
macro_f1_all120,0.8910591116649823,0.8902334012655934,-0.0008257103993889459,-0.015,0.016666666666666666,-0.002646882535991879,9.999000099990002e-05,0.00029997000299970003,True
