stream,all_top1,a61_a120_top1,macro_f1_all120
joint,0.8144829093599206,0.7914553191489362,0.8144770156138083
bone,0.8682852194966121,0.8514382978723404,0.867837419446288
joint_motion,0.8196950081544127,0.784272340425532,0.8205780046166813
bone_motion,0.8201825915900264,0.8038468085106383,0.820765088025204
