endpoint,base_seed,reference_pct,candidate_pct,delta_pp,lcb_pp,margin_pp,passed
all_top1,161803,83.76777863977244,83.42125678820791,-0.34652185156452964,-0.6609083059891097,-1.0,True
a61_a120_top1,161803,81.72161750013146,81.63222379975811,-0.08939370037335248,-0.546387857078306,-1.5,True
macro_f1,161803,83.79128297384717,83.45619966036753,-0.33508331347964493,-0.6012423538808931,-1.5,True
