action_id,support,reference_correct,candidate_correct,reference_recall,candidate_recall,delta_recall,reference_f1,candidate_f1
A001,500,462,460,0.924,0.92,-0.004,0.927710843373494,0.9255533199195171
A002,500,429,429,0.858,0.858,0.0,0.8640483383685801,0.8597194388777555
A003,499,453,452,0.9078156312625251,0.905811623246493,-0.002004008016032064,0.8961424332344213,0.8888888888888888
A004,500,456,454,0.912,0.908,-0.004,0.9249492900608519,0.9144008056394763
A005,502,459,460,0.9143426294820717,0.9163346613545816,0.00199203187250996,0.9254032258064516,0.9246231155778895
A006,502,489,488,0.9741035856573705,0.9721115537848606,-0.00199203187250996,0.9683168316831683,0.9711442786069652
A007,502,451,446,0.898406374501992,0.8884462151394422,-0.0099601593625498,0.915736040609137,0.9065040650406504
A008,497,487,486,0.9798792756539235,0.9778672032193159,-0.002012072434607646,0.9878296146044625,0.9838056680161943
A009,498,491,492,0.9859437751004017,0.9879518072289156,0.002008032128514056,0.9919191919191919,0.9909365558912386
A010,500,446,447,0.892,0.894,0.002,0.8840436075322101,0.8773307163886163
A011,500,321,325,0.642,0.65,0.008,0.6388059701492538,0.6416584402764067
A012,498,317,315,0.6365461847389559,0.6325301204819277,-0.004016064257028112,0.5650623885918004,0.57116953762466
A013,499,451,449,0.9038076152304609,0.8997995991983968,-0.004008016032064128,0.9092741935483871,0.8988988988988988
A014,502,500,499,0.9960159362549801,0.9940239043824701,-0.00199203187250996,0.9624639076034649,0.9513822688274547
A015,504,492,496,0.9761904761904762,0.9841269841269841,0.007936507936507936,0.9781312127236581,0.9792694965449161
A016,502,451,452,0.898406374501992,0.900398406374502,0.00199203187250996,0.8606870229007634,0.8683957732949087
A017,502,410,417,0.8167330677290837,0.8306772908366534,0.013944223107569721,0.8308004052684904,0.8348348348348348
A018,504,470,468,0.9325396825396826,0.9285714285714286,-0.003968253968253968,0.9197651663405088,0.9158512720156555
A019,504,464,465,0.9206349206349206,0.9226190476190477,0.001984126984126984,0.9215491559086395,0.9217046580773043
A020,502,490,489,0.9760956175298805,0.9741035856573705,-0.00199203187250996,0.9722222222222222,0.9702380952380952
A021,502,487,487,0.9701195219123506,0.9701195219123506,0.0,0.9701195219123506,0.9691542288557214
A022,503,494,494,0.9821073558648111,0.9821073558648111,0.0,0.9356060606060606,0.926829268292683
A023,504,469,469,0.9305555555555556,0.9305555555555556,0.0,0.9513184584178499,0.9446122860020141
A024,503,475,474,0.9443339960238568,0.9423459244532804,-0.0019880715705765406,0.9481037924151696,0.9461077844311377
A025,504,470,469,0.9325396825396826,0.9305555555555556,-0.001984126984126984,0.9197651663405088,0.9010566762728146
A026,504,500,500,0.9920634920634921,0.9920634920634921,0.0,0.9871668311944719,0.9881422924901185
A027,504,500,500,0.9920634920634921,0.9920634920634921,0.0,0.9910802775024777,0.9930486593843099
A028,501,444,441,0.8862275449101796,0.8802395209580839,-0.005988023952095809,0.9089048106448311,0.9074074074074074
A029,502,376,377,0.749003984063745,0.750996015936255,0.00199203187250996,0.7322297955209348,0.7285024154589372
A030,502,397,413,0.7908366533864541,0.8227091633466136,0.03187250996015936,0.7218181818181818,0.7188859878154917
A031,501,436,438,0.8702594810379242,0.874251497005988,0.003992015968063872,0.8659384309831182,0.8605108055009824
A032,504,459,458,0.9107142857142857,0.9087301587301587,-0.001984126984126984,0.9235412474849095,0.9252525252525252
A033,503,457,456,0.9085487077534792,0.9065606361829026,-0.0019880715705765406,0.9158316633266533,0.912
A034,503,443,446,0.8807157057654076,0.8866799204771372,0.005964214711729622,0.8772277227722772,0.8736532810969637
A035,504,502,501,0.996031746031746,0.9940476190476191,-0.001984126984126984,0.9833496571988247,0.9833169774288518
A036,503,487,486,0.9681908548707754,0.9662027833001988,-0.0019880715705765406,0.944713870029098,0.9373191899710704
A037,502,456,454,0.9083665338645418,0.9043824701195219,-0.00398406374501992,0.87776708373436,0.8672397325692455
A038,504,461,467,0.9146825396825397,0.9265873015873016,0.011904761904761904,0.9065880039331367,0.9103313840155945
